Timestamp,What is your current status?,Gender,Age group," How often do you use AI tools (like chatGPT, claude,..)?", what do you mainly use AI tools or?,"On average, how much time do you spend using AI tools per day?","How much do AI tools help you understand topics? ( 1= Not helpful , 5= Extremely helpful )","After using AI tools, how often do you feel you actually learned something?",Do you think AI tools make studying easier or just faster without real understanding?," How much do AI tools affect your study effort? (1 = i still work very hard , 5 = i rely heavily on AI instead of thinking myself)","After using AI tools, your productivity is:", Do AI tools make you finish tasks faster?," If AI tools disappeared tomorrow, your performance would:", Do you think students rely too much on AI tools?
4/5/2026 19:25:17,University student,Female,18-22,Very often (daily),"studying/coding, writing/summaries",3 hrs+,4,Sometimes,Both equally,4,Better,sometimes,Get worse,Neutral
4/5/2026 19:25:39,University student,Female,18-22,Often (3–5 times/week),"studying/coding, writing/summaries, general questions",30–60 min,4,Often,Both equally,3,Better,Yes,Stay the same,Strongly agree
4/5/2026 19:26:16,School student,Female,under 18,Often (3–5 times/week),general questions,10–30 min,4,Often,Both equally,3,Better,Yes,Stay the same,Strongly agree
4/5/2026 19:27:07,University student,Female,18-22,Sometimes (1–2 times/week),studying/coding,10–30 min,3,rarely,Mostly reduces effort (less thinking),4,Worse,Yes,Get worse,Strongly agree
4/5/2026 19:27:31,Working,Male,23-30,Very often (daily),studying/coding,3 hrs+,5,Always,Mostly improves understanding,5,Much better,Yes,Get worse,Strongly agree
4/5/2026 19:27:58,University student,Male,18-22,Sometimes (1–2 times/week),"studying/coding, writing/summaries, general questions",10–30 min,4,Sometimes,Both equally,3,Better,Yes,Stay the same,Neutral
4/5/2026 19:28:22,University student,Male,18-22,Very often (daily),studying/coding,1 - 3 hrs,4,Often,Mostly improves understanding,1,Better,Yes,Stay the same,Neutral
4/5/2026 19:28:50,School student,Female,under 18,Very often (daily),general questions,10–30 min,4,Sometimes,Both equally,3,Better,sometimes,Stay the same,Agree
4/5/2026 19:28:58,University student,Female,18-22,Very often (daily),"studying/coding, writing/summaries, general questions",10–30 min,4,Often,Mostly reduces effort (less thinking),3,Better,Yes,Get worse,Strongly agree
4/5/2026 19:28:59,Working,Male,30+,Often (3–5 times/week),general questions,10–30 min,4,Often,Mostly reduces effort (less thinking),3,Better,Yes,Stay the same,Agree
4/5/2026 19:29:41,Working,Female,30+,Very often (daily),"writing/summaries, general questions",10–30 min,3,Sometimes,Mostly reduces effort (less thinking),1,Same,sometimes,Stay the same,Strongly agree
4/5/2026 19:29:49,Working,Female,23-30,Often (3–5 times/week),general questions,10–30 min,3,Sometimes,Mostly improves understanding,1,Same,sometimes,Stay the same,Strongly agree
4/5/2026 19:29:49,School student,Female,under 18,Often (3–5 times/week),"studying/coding, general questions",10–30 min,3,Sometimes,Both equally,1,Same,Yes,Stay the same,Strongly agree
4/5/2026 19:29:59,University student,Male,18-22,Often (3–5 times/week),"studying/coding, general questions",30–60 min,4,Sometimes,Mostly reduces effort (less thinking),3,Same,Yes,Get worse,Agree
4/5/2026 19:30:13,School student,Female,under 18,Often (3–5 times/week),"studying/coding, writing/summaries, general questions",10–30 min,3,Often,Both equally,2,Better,Yes,Stay the same,Neutral
4/5/2026 19:30:33,University student,Male,18-22,Sometimes (1–2 times/week),"studying/coding, writing/summaries, general questions",1 - 3 hrs,4,Often,Mostly improves understanding,3,Better,sometimes,Get worse,Strongly agree
4/5/2026 19:30:50,University student,Male,18-22,Often (3–5 times/week),"studying/coding, general questions",10–30 min,4,Always,Mostly improves understanding,1,Better,Yes,Get worse,Strongly agree
4/5/2026 19:32:19,Working,Female,30+,Often (3–5 times/week),general questions,10–30 min,3,Sometimes,Mostly reduces effort (less thinking),3,Same,Yes,Stay the same,Agree
4/5/2026 19:33:56,University student,Female,18-22,Very often (daily),"studying/coding, general questions",1 - 3 hrs,4,Often,Mostly improves understanding,5,Worse,Yes,Get worse,Strongly agree
4/5/2026 19:34:30,University student,Male,18-22,Very often (daily),"studying/coding, general questions",10–30 min,3,Sometimes,Mostly reduces effort (less thinking),3,Better,Yes,Get worse,Strongly agree
4/5/2026 19:34:30,University student,Female,18-22,Very often (daily),"studying/coding, general questions",10–30 min,4,Always,Both equally,3,Worse,Yes,Stay the same,Agree
4/5/2026 19:35:08,University student,Female,18-22,Often (3–5 times/week),"studying/coding, general questions",10–30 min,5,Often,Both equally,2,Same,sometimes,Stay the same,Agree
4/5/2026 19:36:05,University student,Female,18-22,Sometimes (1–2 times/week),studying/coding,0 min,3,Sometimes,Mostly reduces effort (less thinking),1,Same,No,Stay the same,Strongly agree
4/5/2026 19:36:16,University student,Male,18-22,Very often (daily),"studying/coding, general questions",1 - 3 hrs,3,Often,Mostly reduces effort (less thinking),4,Better,Yes,Get worse,Agree
4/5/2026 19:36:55,School student,Female,under 18,Often (3–5 times/week),"studying/coding, general questions",10–30 min,5,Always,Mostly reduces effort (less thinking),3,Better,Yes,Stay the same,Agree
4/5/2026 19:37:56,University student,Female,under 18,Sometimes (1–2 times/week),"studying/coding, general questions",10–30 min,5,Always,Both equally,2,Better,Yes,Get worse,Agree
4/5/2026 19:38:45,School student,Female,under 18,Sometimes (1–2 times/week),"studying/coding, general questions",10–30 min,4,Often,Both equally,2,Same,sometimes,Stay the same,Agree
4/5/2026 19:39:13,University student,Female,18-22,Very often (daily),studying/coding,1 - 3 hrs,4,Sometimes,Mostly improves understanding,2,Better,Yes,Improve,Strongly agree
4/5/2026 19:39:21,University student,Female,18-22,Very often (daily),"writing/summaries, general questions",10–30 min,3,Sometimes,Both equally,3,Better,sometimes,Stay the same,Agree
4/5/2026 19:41:15,University student,Female,18-22,Often (3–5 times/week),general questions,3 hrs+,4,Always,Both equally,3,Better,Yes,Improve,Agree
4/5/2026 19:42:07,University student,Male,23-30,Very often (daily),"studying/coding, writing/summaries, general questions",1 - 3 hrs,5,Always,Mostly improves understanding,5,Much better,Yes,Get worse,Strongly agree
4/5/2026 19:43:07,University student,Male,18-22,Often (3–5 times/week),"studying/coding, general questions",10–30 min,3,Sometimes,Both equally,3,Better,Yes,Stay the same,Agree
4/5/2026 19:43:29,University student,Female,18-22,Very often (daily),"studying/coding, writing/summaries",10–30 min,4,Sometimes,Mostly reduces effort (less thinking),4,Worse,Yes,Get worse,Agree
4/5/2026 19:43:51,University student,Female,18-22,Often (3–5 times/week),"studying/coding, writing/summaries, general questions",30–60 min,3,Sometimes,Mostly reduces effort (less thinking),5,Much worse,Yes,Get worse,Strongly agree
4/5/2026 19:44:31,University student,Female,18-22,Often (3–5 times/week),"writing/summaries, general questions",10–30 min,3,Sometimes,Mostly reduces effort (less thinking),3,Same,Yes,Stay the same,Agree
4/5/2026 19:44:44,University student,Female,18-22,Very often (daily),general questions,10–30 min,5,Sometimes,Mostly reduces effort (less thinking),3,Better,Yes,Get worse,Strongly agree
4/5/2026 19:52:49,School student,Female,under 18,Often (3–5 times/week),writing/summaries,10–30 min,3,Sometimes,Mostly reduces effort (less thinking),2,Same,Yes,Stay the same,Strongly agree
4/5/2026 19:53:52,University student,Female,18-22,Very often (daily),"studying/coding, general questions",30–60 min,5,Often,Both equally,3,Worse,sometimes,Improve,Strongly agree
4/5/2026 19:59:26,University student,Female,18-22,never,i don't use AI tools,0 min,1,never,Mostly reduces effort (less thinking),1,Much worse,No,Stay the same,Strongly agree
4/5/2026 20:02:04,University student,Female,18-22,Very often (daily),studying/coding,30–60 min,4,Often,Mostly improves understanding,3,Much better,Yes,Stay the same,Strongly agree
4/5/2026 20:02:21,Working,Female,23-30,Often (3–5 times/week),general questions,10–30 min,4,Often,Both equally,1,Same,Yes,Stay the same,Strongly agree
4/5/2026 20:03:46,University student,Male,18-22,Often (3–5 times/week),"studying/coding, general questions",30–60 min,4,Sometimes,Mostly reduces effort (less thinking),2,Better,sometimes,Stay the same,Agree
4/5/2026 20:10:44,School student,Female,under 18,Rarely (1–2 times/month),studying/coding,0 min,3,Sometimes,Mostly reduces effort (less thinking),1,Same,Yes,Stay the same,Strongly agree
4/5/2026 20:12:33,School student,Female,under 18,Very often (daily),studying/coding,30–60 min,3,Sometimes,Mostly improves understanding,4,Better,sometimes,Get worse,Strongly agree
4/5/2026 20:14:56,School student,Female,under 18,Rarely (1–2 times/month),"studying/coding, general questions",0 min,3,Sometimes,Mostly reduces effort (less thinking),2,Worse,sometimes,Stay the same,Strongly agree
4/5/2026 20:15:29,University student,Male,18-22,Very often (daily),"studying/coding, general questions",1 - 3 hrs,3,Often,Mostly reduces effort (less thinking),2,Better,sometimes,Stay the same,Neutral
4/5/2026 20:15:35,Working,Female,30+,Very often (daily),"writing/summaries, general questions",30–60 min,4,Often,Mostly reduces effort (less thinking),4,Better,Yes,Stay the same,Agree
4/5/2026 20:19:52,University student,Female,18-22,Very often (daily),"studying/coding, general questions",30–60 min,5,Often,Mostly improves understanding,3,Better,Yes,Get worse,Neutral
4/5/2026 20:20:25,University student,Male,18-22,Very often (daily),"studying/coding, general questions",30–60 min,5,Often,Mostly improves understanding,3,Better,Yes,Get worse,Agree
4/5/2026 20:20:29,University student,Female,23-30,Often (3–5 times/week),"studying/coding, writing/summaries, general questions",10–30 min,3,Sometimes,Both equally,2,Better,sometimes,Stay the same,Agree
4/5/2026 20:21:22,University student,Female,18-22,Sometimes (1–2 times/week),studying/coding,10–30 min,2,Sometimes,Mostly improves understanding,1,Worse,Yes,Stay the same,Neutral
4/5/2026 20:21:32,School student,Female,18-22,Very often (daily),"studying/coding, writing/summaries, general questions, i don't use AI tools",30–60 min,2,rarely,Mostly reduces effort (less thinking),3,Same,Yes,Get worse,Strongly agree
4/5/2026 20:22:32,University student,Female,18-22,Very often (daily),"studying/coding, writing/summaries, general questions",30–60 min,4,Often,Both equally,2,Better,Yes,Get worse,Agree
4/5/2026 20:23:06,University student,Female,18-22,Often (3–5 times/week),"studying/coding, general questions",10–30 min,4,Often,Both equally,2,Same,Yes,Stay the same,Agree
4/5/2026 20:23:53,School student,Female,under 18,Very often (daily),"studying/coding, writing/summaries, general questions",10–30 min,4,Often,Mostly improves understanding,2,Same,Yes,Stay the same,Agree
4/5/2026 20:24:38,University student,Female,18-22,Often (3–5 times/week),studying/coding,10–30 min,4,Often,Both equally,2,Better,Yes,Stay the same,Agree
4/5/2026 20:32:40,University student,Female,18-22,Very often (daily),"studying/coding, writing/summaries",1 - 3 hrs,5,Often,Mostly reduces effort (less thinking),2,Better,Yes,Get worse,Strongly agree
4/5/2026 20:40:33,University student,Male,18-22,Very often (daily),general questions,10–30 min,4,Often,Both equally,3,Same,Yes,Stay the same,Agree
4/5/2026 20:53:30,University student,Male,18-22,Often (3–5 times/week),"studying/coding, writing/summaries",10–30 min,4,Often,Mostly reduces effort (less thinking),4,Much better,Yes,Get worse,Strongly agree
4/5/2026 21:16:26,School student,Male,under 18,Rarely (1–2 times/month),general questions,0 min,3,rarely,Both equally,3,Better,Yes,Stay the same,Neutral
4/5/2026 21:32:50,Working,Female,30+,Very often (daily),"studying/coding, writing/summaries, general questions",30–60 min,5,Always,Mostly improves understanding,3,Better,Yes,Get worse,Strongly agree
4/5/2026 21:54:13,University student,Male,18-22,Often (3–5 times/week),"studying/coding, general questions",30–60 min,5,Sometimes,Mostly improves understanding,3,Better,Yes,Stay the same,Strongly agree
4/5/2026 21:56:18,University student,Female,18-22,Often (3–5 times/week),"studying/coding, writing/summaries, general questions",30–60 min,3,Sometimes,Both equally,3,Better,Yes,Improve,Strongly agree
4/5/2026 22:09:13,University student,Female,18-22,Very often (daily),studying/coding,30–60 min,4,Sometimes,Both equally,3,Better,Yes,Get worse,Strongly agree
4/5/2026 22:15:19,University student,Female,18-22,Often (3–5 times/week),"studying/coding, writing/summaries, general questions",10–30 min,4,Often,Mostly improves understanding,2,Same,sometimes,Get worse,Agree
4/5/2026 22:44:24,University student,Female,18-22,Very often (daily),"studying/coding, general questions",10–30 min,4,Often,Both equally,1,Same,Yes,Get worse,Agree
4/5/2026 23:14:40,University student,Female,18-22,Often (3–5 times/week),"studying/coding, writing/summaries, general questions",30–60 min,4,Always,Mostly improves understanding,3,Same,Yes,Get worse,Strongly agree
4/5/2026 23:15:11,School student,Female,under 18,Often (3–5 times/week),"studying/coding, general questions",10–30 min,4,Sometimes,Mostly improves understanding,2,Same,Yes,Stay the same,Strongly agree
4/5/2026 23:23:18,University student,Female,18-22,Often (3–5 times/week),"studying/coding, writing/summaries, general questions",10–30 min,4,Often,Both equally,3,Worse,Yes,Stay the same,Agree
4/5/2026 23:33:39,University student,Female,18-22,Often (3–5 times/week),studying/coding,1 - 3 hrs,3,Sometimes,Both equally,3,Better,sometimes,Stay the same,Strongly agree
4/5/2026 23:38:38,University student,Female,18-22,Often (3–5 times/week),"studying/coding, writing/summaries",30–60 min,4,Sometimes,Mostly reduces effort (less thinking),3,Worse,Yes,Stay the same,Agree
4/5/2026 23:55:08,University student,Female,18-22,Often (3–5 times/week),"studying/coding, writing/summaries, general questions",1 - 3 hrs,4,Often,Mostly improves understanding,4,Better,Yes,Get worse,Agree
4/6/2026 0:17:23,University student,Female,18-22,Very often (daily),"studying/coding, writing/summaries",10–30 min,5,Often,Mostly improves understanding,4,Better,Yes,Get worse,Strongly agree
4/6/2026 0:22:46,University student,Male,18-22,Often (3–5 times/week),"studying/coding, general questions",10–30 min,3,Sometimes,Both equally,3,Better,Yes,Get worse,Agree
4/6/2026 0:59:24,University student,Male,18-22,Often (3–5 times/week),"studying/coding, writing/summaries, general questions",10–30 min,3,Sometimes,Both equally,3,Better,Yes,Get worse,Agree
4/6/2026 1:08:17,School student,Female,under 18,Sometimes (1–2 times/week),general questions,10–30 min,4,Often,Both equally,2,Same,Yes,Stay the same,Agree
4/6/2026 1:09:06,University student,Female,18-22,Very often (daily),"studying/coding, general questions",10–30 min,4,Always,Mostly improves understanding,3,Same,Yes,Get worse,Strongly agree
4/6/2026 5:52:50,School student,Female,18-22,Sometimes (1–2 times/week),general questions,10–30 min,2,rarely,Not sure,1,Same,sometimes,Stay the same,Neutral
4/6/2026 6:41:58,University student,Male,18-22,Often (3–5 times/week),"studying/coding, writing/summaries, general questions",30–60 min,5,Always,Mostly improves understanding,3,Much better,Yes,Get worse,Agree
4/6/2026 7:32:25,University student,Female,18-22,Very often (daily),"studying/coding, general questions",10–30 min,4,Sometimes,Both equally,3,Worse,Yes,Stay the same,Agree
4/6/2026 8:28:54,University student,Female,18-22,Often (3–5 times/week),"studying/coding, writing/summaries, general questions",30–60 min,4,Often,Both equally,3,Better,Yes,Get worse,Strongly agree
4/6/2026 8:32:54,University student,Male,under 18,Often (3–5 times/week),"studying/coding, writing/summaries",30–60 min,4,Sometimes,Both equally,1,Better,Yes,Stay the same,Neutral
4/6/2026 13:44:28,University student,Male,18-22,Very often (daily),"studying/coding, general questions",10–30 min,4,Always,Mostly improves understanding,3,Better,sometimes,Stay the same,Neutral
4/6/2026 13:51:09,University student,Female,under 18,Often (3–5 times/week),"studying/coding, writing/summaries, general questions",30–60 min,4,Always,Mostly reduces effort (less thinking),1,Same,Yes,Get worse,Agree
4/6/2026 18:22:57,School student,Male,under 18,Rarely (1–2 times/month),"studying/coding, general questions",10–30 min,3,Sometimes,Mostly reduces effort (less thinking),3,Better,Yes,Stay the same,Strongly agree
4/6/2026 22:13:06,University student,Female,18-22,Often (3–5 times/week),"studying/coding, writing/summaries, general questions",10–30 min,3,Sometimes,Both equally,2,Better,Yes,Stay the same,Strongly agree
